City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
744,Las Matas De Farfan,DO,81.01,overcast clouds,18.8731,-71.5166,Casa Uben y Yolanda
747,Yarada,IN,80.92,mist,17.65,83.2667,Vishranti
748,Boke,GN,77.94,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
750,Turbat,PK,77.43,clear sky,26.0023,63.044,Mubashar Quarters
753,Pascagoula,US,82.42,overcast clouds,30.3658,-88.5561,Regency Inn
755,Jibuti,DJ,80.02,broken clouds,11.5,42.5,Orchid Main Camp Goubet
757,Bushehr,IR,84.29,clear sky,28.9684,50.8385,Yas Hotel
759,Xuddur,SO,75.61,light rain,4.1213,43.8894,Banjanay Hotel
761,Chicontepec,MX,77.2,broken clouds,20.9667,-98.1667,HOTEL LA GLORIETA
762,Ambagarh Chauki,IN,70.32,broken clouds,20.7833,80.7167,Hunesh kunjam home ....
765,Matara,LK,77.07,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
767,Male,MV,82.13,broken clouds,4.1748,73.5089,Hotel Octave Maldives
769,Caucaia,BR,85.06,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
770,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
771,Morant Bay,JM,85.66,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
773,Coracao De Jesus,BR,88.52,broken clouds,-16.6853,-44.365,Hotel Neves
775,Danshui,CN,79.02,overcast clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
778,Hirara,JP,79.27,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
780,Niquero,CU,86.85,broken clouds,20.0431,-77.5828,Islazul Niquero
781,Omboue,GA,76.53,overcast clouds,-1.5746,9.2618,Hotel Olako
